Arson,Assault,Burglary,Case Closure,Civil Sidewalks,Courtesy Report,Disorderly Conduct,Drug Offense,Drug Violation,Embezzlement,Family Offense,Fire Report,Forgery And Counterfeiting,Fraud,Gambling,Homicide,"Human Trafficking (A), Commercial Sex Acts","Human Trafficking, Commercial Sex Acts",Larceny Theft,Liquor Laws,Lost Property,Malicious Mischief,Miscellaneous Investigation,Missing Person,Motor Vehicle Theft,Motor Vehicle Theft?,Non-Criminal,Offences Against The Family And Children,Other,Other Miscellaneous,Other Offenses,Prostitution,Rape,Recovered Vehicle,Robbery,Sex Offense,Stolen Property,Suicide,Suspicious,Suspicious Occ,Traffic Collision,Traffic Violation Arrest,Vandalism,Vehicle Impounded,Vehicle Misplaced,Warrant,Weapons Carrying Etc,Weapons Offence,Weapons Offense,nan
25,679,532,63,62,40,225,311,5,19,14,7,66,371,2,1,1,,3683,4,417,731,111,281,417,3,760,239,95,932,100,52,9,391,291,29,83,10,,224,26,155,16,8,5,453,81,,88,
19,542,469,82,28,25,223,284,1,16,13,11,50,382,1,,,,3416,1,440,614,103,245,396,2,657,226,100,838,70,69,3,319,226,42,59,4,,195,24,161,12,17,5,443,64,,63,
20,815,528,54,29,35,256,321,2,14,19,13,49,373,,1,1,1,3539,1,509,713,110,276,415,1,755,258,82,840,79,41,2,340,250,28,55,4,1,221,25,128,11,15,4,429,53,1,59,
22,707,492,53,17,42,202,328,1,5,19,3,45,396,,1,2,,3484,1,496,741,124,281,442,2,731,224,68,892,103,25,1,337,256,40,56,8,,286,27,170,19,4,2,506,47,,77,
24,795,540,48,13,40,249,292,3,22,16,7,52,387,,2,,,3764,,413,685,115,256,448,1,739,260,84,950,89,93,3,371,258,37,66,5,2,266,30,173,18,16,4,498,80,1,67,
20,812,427,54,25,43,219,284,6,14,22,12,57,378,,4,,,3956,3,440,741,111,271,460,2,779,224,85,807,87,12,2,355,275,37,53,6,,252,24,119,11,17,4,443,77,3,60,
24,765,538,59,21,41,187,342,8,13,11,15,77,392,,,,,4531,1,436,836,105,291,456,4,747,234,88,972,95,13,5,332,261,41,62,5,2,229,22,171,22,8,3,474,70,,78,
31,840,529,47,14,57,265,291,3,12,19,11,43,374,,1,2,1,4741,5,496,810,122,283,426,,858,266,92,1004,113,11,1,359,321,51,66,13,7,259,33,155,18,14,5,505,55,,73,
34,762,462,34,53,38,286,313,7,21,10,17,50,367,,,,1,4367,3,455,780,108,298,483,,803,231,73,904,118,14,1,374,295,37,65,7,,210,21,159,20,9,4,405,75,1,63,
36,773,494,47,38,51,315,298,5,19,11,17,42,350,3,3,1,,4854,5,443,860,112,294,460,3,760,266,74,903,119,13,2,367,358,29,58,5,4,271,33,160,16,11,10,467,73,3,57,
35,701,491,44,15,37,210,291,2,17,16,19,44,353,,2,9,4,3995,2,413,715,100,226,493,1,761,215,89,883,121,26,4,358,372,28,68,8,3,215,27,163,18,9,7,418,37,,47,
22,690,510,51,19,37,183,291,4,18,12,11,34,324,,,,2,4361,3,461,778,103,261,466,2,757,188,107,755,101,13,4,351,283,30,52,7,4,194,20,120,17,7,9,389,48,,42,
